Latitude,Longitude,Metric population
50.426039581,30.532470555,3.13
50.441141683,30.548922108,2.11
50.441784128,30.548129228,1.68
50.437835600,30.524472000,2.18
50.429030547,30.530505451,1.92
50.428802266,30.529826375,2.29
50.428202055,30.529073241,1.87
50.428077208,30.529924735,2.00
50.428254277,30.530826142,1.99
50.424932287,30.539005202,2.75
50.433202050,30.530623150,1.72
50.432594300,30.531354200,1.77
50.431945000,30.532172950,1.83
50.437064330,30.528810699,1.94
50.436124763,30.530089209,2.21
50.437757849,30.535858398,2.33
50.436389750,30.534396900,1.83
50.439041521,30.531736025,2.09
50.438646339,30.533140564,1.91
50.442297364,30.533450778,2.13
50.442734436,30.532603356,2.05
50.442598852,30.530880904,1.98
50.432929534,30.540208654,2.21
50.427695150,30.639874050,2.46
50.437660102,30.499808134,3.12
50.434211188,30.534639686,2.64
50.474462531,30.444925887,1.93
50.474024402,30.445349051,1.40
50.434980170,30.533893191,1.62
50.434378450,30.533168857,2.17
50.444725822,30.624754250,2.12
50.445354075,30.624660942,2.00
50.445506250,30.624129050,1.99
50.445621576,30.623660193,1.95
50.445298250,30.622626773,2.27
50.445919150,30.620721851,2.51
50.446327950,30.621027800,2.01
50.444407050,30.620396600,2.00
50.444977450,30.620151000,2.14
50.445238500,30.619628900,1.97
50.444379446,30.619094795,2.14
50.445865300,30.618793900,2.20
50.446473259,30.619212331,2.11
50.446497647,30.618156140,2.01
50.445823150,30.617471900,2.03
50.446005273,30.616858341,1.97
50.446159800,30.616232400,2.04
50.445013397,30.616785871,2.13
50.510747890,30.499607312,2.76
50.508774427,30.502191520,2.92
50.446226750,30.615543650,2.09
50.445374239,30.615445678,1.95
50.446811253,30.617000609,2.00
50.446600572,30.620594706,2.19
50.438764250,30.637138850,2.48
50.439115864,30.638137789,2.02
50.446564608,30.626885579,2.37
50.439318500,30.620149050,1.89
50.436792300,30.632704100,2.03
50.435354567,30.599689247,2.31
50.435926654,30.601032479,2.70
50.437119981,30.603765729,2.55
50.438184949,30.606321109,2.42
50.437983850,30.604780550,2.27
50.438794294,30.605947378,2.60
50.439512218,30.606090268,2.42
50.439976700,30.605586750,2.33
50.439302601,30.604790947,2.43
50.440167518,30.604447966,2.46
50.440851550,30.605311827,2.17
50.436836350,30.602095650,2.54
50.437684785,30.603339089,2.52
50.436426900,30.600379150,2.54
50.436867748,30.599222138,2.48
50.437209011,30.600621602,2.40
50.437837904,30.602132417,2.37
50.437479551,30.597882352,2.80
50.437675948,30.600139187,2.38
50.438308939,30.601653115,2.40
50.440698881,30.604158922,2.32
50.441224139,30.602451535,2.60
50.441172539,30.603302996,2.46
50.441581750,30.604594350,2.25
50.441925285,30.603314334,2.17
50.441866428,30.601933794,2.43
50.441163959,30.601123386,2.17
50.442067000,30.601139650,2.46
50.442261550,30.600352050,2.41
50.441405659,30.600089401,2.21
50.444702550,30.627981850,1.77
50.444558008,30.628584205,1.77
50.435918226,30.599051477,2.17
50.442152650,30.599377100,2.41
50.442342993,30.598599759,2.42
50.442904400,30.599384200,2.20
50.439844150,30.597574150,2.75
50.440732800,30.597800650,1.96
50.447221777,30.616201233,2.42
50.447968350,30.618227800,1.73
50.447634895,30.617151752,2.08
50.453833542,30.611684827,2.09
50.421759261,30.547941697,2.66
50.423007350,30.548723650,2.06
50.423753192,30.549753358,2.44
50.418741829,30.547911852,2.41
50.427988881,30.548935890,2.57
50.428725185,30.548621209,2.43
50.428997850,30.547416950,2.42
50.428468650,30.546307350,2.44
50.428128304,30.544558529,2.41
50.427010120,30.548797463,2.51
50.423560970,30.548968493,1.92
50.425077056,30.543489032,2.55
50.425935609,30.542495158,2.53
50.430216678,30.547953290,2.39
50.415256072,30.545225826,1.93
50.415067950,30.545914800,1.93
50.434092076,30.541359803,2.13
50.449335499,30.451736189,2.33
50.449572182,30.450376786,2.08
50.449172652,30.450210851,2.11
50.458110089,30.484907290,2.19
50.450249579,30.450407037,2.20
50.450200883,30.451090625,1.45
50.448962290,30.452639593,2.03
50.449896994,30.451871865,1.75
50.449894164,30.452597558,2.17
50.453600506,30.448858956,2.61
50.452758963,30.452469270,2.93
50.451815500,30.451994950,1.86
50.451851132,30.452594659,1.94
50.447046885,30.463927574,2.43
50.448862459,30.465142111,2.33
50.448151300,30.452774600,1.94
50.445365161,30.627993283,1.48
50.446081227,30.628740257,1.67
50.445945563,30.629368719,1.67
50.447341868,30.628963203,2.26
50.446024308,30.511082540,1.92
50.457011600,30.484050750,1.70
50.444127003,30.606201659,2.41
50.444477394,30.604747327,2.67
50.447267682,30.618052104,1.94
50.447408920,30.618580446,1.99
50.447476199,30.619158635,2.08
50.447724150,30.621559700,2.09
50.447756900,30.622145500,1.94
50.447928927,30.622632207,1.93
50.448691025,30.621883281,2.25
50.448641754,30.620726302,1.90
50.448884424,30.622614169,1.74
50.445646843,30.622855254,1.82
50.448360850,30.624205950,1.96
50.448516000,30.624738550,1.98
50.448757416,30.625202449,2.07
50.449254130,30.623860631,2.28
50.450282306,30.626466899,2.07
50.450692150,30.627999700,2.08
50.447890639,30.627874217,2.14
50.448389553,30.627438239,2.11
50.449127802,30.628576704,2.36
50.449741259,30.626853608,1.98
50.450210563,30.629194325,1.92
50.449511678,30.626314041,2.13
50.449881600,30.627396200,1.97
50.448710422,30.626993644,1.87
50.450892391,30.629290866,1.87
50.444975100,30.614807300,1.79
50.447691013,30.598894296,2.48
50.446299379,30.597012355,2.61
50.447132350,30.597096450,2.44
50.447556055,30.595869694,2.21
50.446677364,30.598324366,2.38
50.445455590,30.599354929,2.59
50.446229300,30.599470000,2.43
50.449380790,30.598110890,2.30
50.447194497,30.594728080,2.64
50.447654266,30.592161629,2.61
50.448409850,30.592906750,2.47
50.448071900,30.594493950,2.40
50.448263094,30.595194766,1.88
50.438561685,30.499484999,1.92
50.446916049,30.610598235,2.06
50.448210371,30.615303918,2.21
50.449740400,30.614162000,1.97
50.449092900,30.614801650,1.95
50.448401851,30.616481112,2.15
50.449639650,30.618932600,1.86
50.448934638,30.618964797,2.02
50.450163310,30.614700946,1.99
50.450445767,30.618353199,1.83
50.450974395,30.617639346,1.97
50.439986400,30.508349400,2.00
50.447212243,30.449657578,2.25
50.447181306,30.452331705,2.12
50.447894948,30.451656787,2.07
50.446582500,30.447414350,2.40
50.446011547,30.451744060,2.62
50.445445526,30.450498190,2.28
50.508715864,30.493995057,2.51
50.506419742,30.497047565,2.22
50.507131289,30.497285458,2.57
50.507800348,30.497072685,2.23
50.508506498,30.497315956,2.61
50.459090243,30.527030903,2.34
50.443275388,30.516974363,2.22
50.444753311,30.517518398,2.26
50.446397220,30.513934220,2.23
50.448109970,30.514617315,1.67
50.448564336,30.514855751,1.48
50.448401834,30.512661412,2.17
50.451100988,30.514627688,1.90
50.450529997,30.514459367,2.11
50.453188511,30.526717923,2.54
50.456451798,30.520256810,2.15
50.453531296,30.515232868,1.88
50.450203763,30.516905813,2.40
50.454127405,30.524097176,2.04
50.454691919,30.524455295,2.24
50.453003754,30.517307682,2.10
50.452807350,30.517828800,1.87
50.453169553,30.518399705,2.72
50.451120896,30.524958205,1.91
50.452153844,30.525767073,1.69
50.452676538,30.526200022,1.85
50.446422088,30.523392079,2.44
50.446252717,30.520877516,2.60
50.444230790,30.516992570,1.67
50.420433984,30.489552368,1.89
50.420235450,30.488890200,1.96
50.420204799,30.487759338,1.93
50.420322000,30.486611200,1.92
50.421104650,30.484784650,2.35
50.423196348,30.482817780,2.04
50.422991000,30.483292650,2.08
50.422969900,30.484004850,1.92
50.423088250,30.484811500,1.90
50.421462700,30.483304050,1.81
50.419830389,30.490835741,1.95
50.419362350,30.490704250,2.12
50.419745331,30.489680457,2.06
50.420761518,30.500715878,2.57
50.421856683,30.502197630,2.31
50.447094650,30.448322300,1.40
50.446696800,30.448180450,1.57
50.451143844,30.452338124,2.57
50.452490492,30.450465587,2.39
50.452741194,30.449728592,2.08
50.404218513,30.618400165,2.37
50.407392111,30.631685056,2.73
50.404000635,30.637926587,2.76
50.452971239,30.469074342,2.58
50.450904982,30.470475575,2.62
50.451749750,30.446485050,1.95
50.451966211,30.449732269,1.71
50.447533998,30.447980242,2.08
50.448553186,30.451126131,2.28
50.448479650,30.452019450,1.90
50.448826200,30.450121250,2.12
50.448073600,30.450912850,2.23
50.448385035,30.449426504,1.39
50.447471062,30.450499971,1.94
50.448734600,30.466703200,2.35
50.450786568,30.465971079,2.31
50.453676838,30.470355365,2.30
50.448700180,30.463397625,1.98
50.449278952,30.463651861,1.93
50.448836650,30.464018155,1.74
50.402197910,30.617921421,2.54
50.453071472,30.611928180,2.17
50.454062350,30.612878300,1.83
50.452408966,30.612714192,2.20
50.453159481,30.614574019,2.47
50.454578084,30.614113521,2.27
50.454064354,30.614528283,2.12
50.454652593,30.615503420,2.16
50.442164186,30.623373585,2.00
50.441930158,30.622517276,1.96
50.440872060,30.619129384,1.79
50.440606387,30.618378756,2.02
50.442646583,30.623517370,1.66
50.407176328,30.627829562,2.66
50.404751611,30.619243717,2.35
50.441200059,30.499112605,1.84
50.440873502,30.498406504,2.09
50.405078200,30.633173800,2.40
50.404696029,30.632571637,2.50
50.404161299,30.632528052,2.35
50.403812800,30.633014350,2.33
50.404052363,30.636457950,2.73
50.405074417,30.636084307,2.31
50.405283007,30.637210583,2.23
50.406084089,30.637207945,2.30
50.405241700,30.633957350,2.07
50.405452250,30.634803200,2.12
50.405622436,30.635699097,2.11
50.407670863,30.638479860,2.82
50.408195557,30.637581290,2.61
50.402623367,30.636646433,2.42
50.404490390,30.639452800,2.44
50.404878716,30.639657076,2.58
50.405551352,30.641682069,2.89
50.405523296,30.643997925,2.72
50.405776703,30.646429303,2.61
50.406555100,30.645980450,2.12
50.406546550,30.647330550,2.08
50.406020624,30.648199125,2.80
50.407236482,30.647879065,2.65
50.407946440,30.647637782,1.85
50.408045597,30.647166413,2.29
50.408298018,30.646193917,2.39
50.408030100,30.645580850,2.40
50.407727231,30.645034924,2.39
50.407439123,30.640712694,2.95
50.408083319,30.641743301,2.36
50.408371971,30.642265230,2.41
50.408632419,30.642867167,2.40
50.407896380,30.643378055,2.45
50.408194769,30.643942352,2.38
50.408457020,30.644536800,2.41
50.408135214,30.631550304,2.45
50.408620467,30.631556935,2.50
50.408947992,30.632132518,2.52
50.408944247,30.632873543,2.45
50.408605313,30.633399605,2.43
50.408082704,30.633345734,2.34
50.409937315,30.635997713,2.66
50.410169571,30.637269892,2.63
50.409321957,30.637894124,2.56
50.444118450,30.591848000,2.30
50.460350650,30.487050900,2.33
50.410401008,30.639273064,2.90
50.411236087,30.641135662,2.81
50.409147502,30.639889641,2.79
50.411641376,30.634376548,2.67
50.395915194,30.628899018,2.27
50.395419850,30.631470800,2.31
50.394892750,30.631695761,2.27
50.394836950,30.630902350,2.33
50.394100155,30.629062234,2.33
50.393402480,30.629270075,2.35
50.392326887,30.629678572,2.53
50.392801425,30.630567590,2.35
50.391993983,30.630920305,2.48
50.391566143,30.632035588,2.58
50.393925021,30.630320215,2.99
50.393437258,30.633191186,2.71
50.393825118,30.634206818,3.12
50.394929100,30.632692210,2.39
50.392439282,30.633459882,2.13
50.391859023,30.633940457,2.53
50.391899755,30.635082964,2.42
50.392650133,30.634744320,2.74
50.396173153,30.627922688,2.94
50.395710135,30.629953460,3.02
50.407480137,30.635026307,3.15
50.407197337,30.636371501,3.14
50.405675809,30.637220115,2.25
50.409004257,30.635019347,2.36
50.408483333,30.634367030,2.36
50.408484656,30.636145161,2.36
50.395257044,30.641499351,2.76
50.396534050,30.639227500,2.47
50.395746197,30.638192616,2.24
50.395174156,30.637692733,2.24
50.394532588,30.637143040,2.24
50.394743689,30.641730037,2.57
50.394167050,30.641905050,2.05
50.393193999,30.642163753,2.43
50.393200700,30.640759350,2.20
50.392757298,30.639804146,2.54
50.393696450,30.640081550,2.27
50.393461800,30.638939700,2.27
50.393862751,30.638066617,2.35
50.393794726,30.637107207,2.41
50.393414725,30.637405603,2.07
50.392565722,30.637941173,2.56
50.396444920,30.641404318,3.16
50.393584865,30.642296645,2.10
50.392838911,30.642077644,2.10
50.392750221,30.641080205,2.10
50.410703308,30.631361172,2.40
50.412090763,30.635449710,2.65
50.411983402,30.636565880,2.58
50.408891045,30.645643551,2.37
50.409424066,30.646385899,2.33
50.410536798,30.645860571,1.85
50.410746259,30.645054357,2.96
50.411680933,30.643160392,2.66
50.411064461,30.642710699,2.66
50.409963107,30.641106248,2.66
50.438965335,30.498747059,2.98
50.439713296,30.497835971,2.28
50.438933608,30.502142058,2.20
50.438624762,30.501787837,1.67
50.438310900,30.502151700,1.62
50.438525672,30.502617836,2.14
50.437537340,30.501828368,2.14
50.437230171,30.502284659,1.97
50.504818952,30.508819512,2.49
50.501198681,30.506143734,2.35
50.500255878,30.514092222,2.25
50.487209641,30.631812116,2.65
50.424283169,30.447285720,2.76
50.449525457,30.613409739,2.06
50.450256024,30.612905859,1.65
50.443253207,30.621215747,2.09
50.445308252,30.613600265,2.25
50.423782900,30.447288600,1.96
50.425269248,30.447813018,1.19
50.449057150,30.600911787,2.48
50.448927300,30.601393050,2.04
50.448795731,30.601873547,2.50
50.448668396,30.602381885,2.03
50.448547988,30.602910225,2.47
50.448419750,30.603396250,2.01
50.448270636,30.603823732,2.49
50.467832300,30.623391800,2.34
50.468467342,30.621836150,2.11
50.468137050,30.620832950,2.00
50.466550988,30.620872531,2.01
50.466454500,30.619985415,2.05
50.446791452,30.630450351,1.76
50.447249550,30.630925400,1.98
50.447975142,30.631391965,2.02
50.448217237,30.629473972,2.09
50.448278760,30.630542221,2.20
50.450126448,30.630612110,2.05
50.450896487,30.631063192,1.99
50.450992816,30.631767862,1.77
50.450460033,30.632883274,2.03
50.449806276,30.632500234,1.82
50.449345002,30.632222751,1.78
50.448698024,30.631816602,2.02
50.448253250,30.619246000,2.15
