Latitude,Longitude,Metric population,Building Id,Nearest Store,Distance to Nearest Store (km)
50.512816758,30.489602252,2.66,11614,Store 54,0.514
50.488125232,30.507017805,1.96,11615,Store 2,0.88
50.48839991,30.500181715,2.18,11616,Store 2,1.15
50.382616478,30.463709566,2.43,11617,Store 39,0.436
50.3817743,30.46982045,2.55,11618,Store 39,0.874
50.3821636,30.46946775,2.55,11619,Store 39,0.837
50.382528702,30.469098735,2.55,11620,Store 39,0.801
50.382902465,30.468720331,2.55,11621,Store 39,0.765
50.37852335,30.46775705,2.59,11622,Store 39,0.936
50.3814027,30.4625495,2.45,11623,Store 39,0.448
50.490183472,30.491603506,2.28,11624,Store 2,1.57
50.434739046,30.617664868,1.85,11625,Store 84,1.742
50.43454771,30.617015549,1.65,11626,Store 84,1.773
50.434644214,30.617342281,1.79,11627,Store 84,1.757
50.434833308,30.617988413,1.85,11628,Store 84,1.727
50.434791375,30.616491323,2.23,11629,Store 73,1.794
50.434525676,30.616681859,2.22,11630,Store 84,1.793
50.524861805,30.464037885,2.39,11631,Store 64,0.611
50.521320075,30.468211812,2.6,11632,Store 64,0.295
50.521948433,30.468221223,2.58,11633,Store 64,0.348
50.389819666,30.628792888,2.92,11634,Store 52,1.103
50.449981584,30.488808908,1.91,11635,Store 21,0.489
50.470253306,30.619915353,0.85,11636,Store 23,0.945
50.465914978,30.619100974,2.15,11637,Store 23,0.647
50.435175303,30.617328073,2.19,11638,Store 84,1.787
50.434940042,30.61674214,1.74,11639,Store 73,1.806
50.435035937,30.617068914,1.87,11640,Store 84,1.795
50.435422362,30.616793377,1.83,11641,Store 73,1.794
50.435327209,30.616468783,1.68,11642,Store 73,1.775
50.435439867,30.617140574,2.26,11643,Store 84,1.813
50.435813006,30.616521458,1.75,11644,Store 73,1.764
50.435717993,30.616196849,1.77,11645,Store 73,1.745
50.435307869,30.616124485,2.33,11646,Store 73,1.752
50.43557823,30.615935729,2.29,11647,Store 73,1.731
50.521373175,30.465867724,3.23,11648,Store 64,0.22
50.395231027,30.535553561,1.98,11649,Store 28,1.87
50.455081454,30.493921629,2.44,11650,Store 75,0.259
50.403811377,30.501362229,1.63,11651,Store 45,1.887
50.456564526,30.408776631,2.85,11652,Store 62,0.755
50.456548173,30.409565381,2.6,11653,Store 62,0.808
50.480061967,30.63530588,2.38,11654,Store 43,0.604
50.427176323,30.532686189,3.05,11655,Store 40,0.146
50.435386249,30.511204105,1.73,11656,Store 77,0.927
50.42808265,30.43383745,1.59,11657,Store 86,1.59
50.435969039,30.616770935,2.12,11658,Store 73,1.777
50.436237128,30.616578276,2.08,11659,Store 73,1.757
50.436202961,30.616240417,1.76,11660,Store 73,1.735
50.436184324,30.615890637,2.2,11661,Store 73,1.711
50.424317265,30.656830524,2.4,11662,Store 82,0.579
50.496803251,30.368341472,2.18,11663,Store 8,0.72
50.476857541,30.670609685,2.03,11664,Store 43,2.377
50.476709783,30.671842185,1.99,11665,Store 43,2.464
50.526882854,30.455618982,2.95,11666,Store 51,0.546
50.401684848,30.386158736,0.88,11667,Store 11,1.686
50.525088362,30.457958061,1.98,11668,Store 51,0.519
50.525294676,30.457090335,1.98,11669,Store 51,0.482
50.414699225,30.527454896,3.03,11670,Store 81,0.349
50.414632958,30.526375044,2.61,11671,Store 1,0.294
50.414453014,30.525809017,2.18,11672,Store 1,0.261
50.415740405,30.526625145,2.17,11673,Store 1,0.308
50.415367583,30.527211998,2.59,11674,Store 81,0.34
50.41587165,30.5272132,2.59,11675,Store 81,0.33
50.416158363,30.52551691,2.61,11676,Store 1,0.246
50.416325395,30.526486353,2.69,11677,Store 1,0.317
50.41892623,30.531112888,2.83,11678,Store 81,0.317
50.419169748,30.532476742,2.7,11679,Store 81,0.343
50.419590794,30.53046399,3.06,11680,Store 81,0.399
50.513646627,30.442747034,1.11,11681,Store 31,0.726
50.513383,30.4425871,1.21,11682,Store 31,0.695
50.497003172,30.437050041,3.02,11683,Store 69,0.857
50.496261327,30.440428087,3.02,11684,Store 14,0.895
50.497136893,30.440155028,3.43,11685,Store 14,0.861
50.496903051,30.440523758,2.55,11686,Store 14,0.851
50.497360538,30.442304877,3.06,11687,Store 14,0.717
50.496593979,30.442102169,3.03,11688,Store 14,0.777
50.50104385,30.44645925,0.56,11689,Store 14,0.313
50.500946,30.4457554,-0.23,11690,Store 14,0.362
50.503427324,30.425338786,2.55,11691,Store 68,0.267
50.503024961,30.424743869,2.65,11692,Store 68,0.326
50.502661773,30.425699526,3.01,11693,Store 68,0.302
50.502659048,30.426901117,2.61,11694,Store 68,0.254
50.502220883,30.426416781,2.63,11695,Store 68,0.313
50.50222265,30.427572204,3.11,11696,Store 68,0.283
50.502133219,30.423482105,2.64,11697,Store 68,0.457
50.501513211,30.421574307,2.95,11698,Store 68,0.607
50.501561568,30.422647621,2.57,11699,Store 68,0.543
50.501026341,30.422603169,2.62,11700,Store 68,0.585
50.501028,30.4260025,2.39,11701,Store 68,0.445
50.501042107,30.427066638,3.0,11702,Store 68,0.419
50.5014713,30.426432734,2.52,11703,Store 68,0.388
50.485018305,30.416957577,2.55,11704,Store 90,1.566
50.484891852,30.415938067,2.67,11705,Store 90,1.52
50.484941412,30.414823193,2.56,11706,Store 90,1.491
50.521485576,30.630844817,1.14,11707,Store 30,1.079
50.533109622,30.598368811,2.49,11708,Store 50,0.164
50.533295134,30.598061092,2.31,11709,Store 50,0.181
50.476013075,30.670355321,2.25,11710,Store 43,2.397
50.417169738,30.681489675,2.3,11711,Store 83,1.434
50.417871898,30.68164443,2.68,11712,Store 83,1.465
50.410534991,30.695861991,3.29,11713,Store 12,2.138
50.411831514,30.695650628,3.4,11714,Store 12,2.153
50.382652108,30.465311161,2.86,11715,Store 39,0.54
50.38205226,30.464650918,2.81,11716,Store 39,0.524
50.381658931,30.463699452,2.77,11717,Store 39,0.491
50.496654381,30.434566604,1.91,11718,Store 69,0.916
50.4958139,30.4334763,1.87,11719,Store 69,1.025
50.4958894,30.4342332,2.12,11720,Store 69,1.004
50.495471061,30.432898317,1.96,11721,Store 68,1.07
50.49544475,30.4346537,2.18,11722,Store 69,1.047
50.495316691,30.433934784,2.16,11723,Store 69,1.071
50.494845627,30.434182344,2.08,11724,Store 69,1.118
50.49487775,30.43483225,2.07,11725,Store 69,1.107
50.496400784,30.369543148,2.37,11726,Store 8,0.798
50.496383898,30.36849105,2.43,11727,Store 8,0.723
50.495145028,30.370061296,2.28,11728,Store 8,0.83
50.495224089,30.369432557,2.19,11729,Store 8,0.785
50.494462994,30.369805192,2.55,11730,Store 8,0.82
50.448478046,30.479221034,3.08,11731,Store 60,0.855
50.434642595,30.47781751,2.08,11732,Store 42,0.874
50.531719532,30.362356295,1.87,11733,Store 8,4.031
50.392048371,30.459317537,2.32,11734,Store 39,0.866
50.38983035,30.462425,1.73,11735,Store 39,0.686
50.390179718,30.463034026,1.76,11736,Store 39,0.74
50.390015543,30.462708188,1.73,11737,Store 39,0.713
50.396729796,30.445601738,1.57,11738,Store 39,1.644
50.396755121,30.446364051,1.26,11739,Store 39,1.618
50.402664776,30.360746925,1.25,11740,Store 38,2.913
50.505968483,30.463500088,2.79,11741,Store 33,0.712
50.505430568,30.461051609,1.42,11742,Store 33,0.535
50.470562983,30.491337827,1.6,11743,Store 57,0.782
50.490103212,30.33777151,2.44,11744,Store 8,1.577
50.49009873,30.337301535,2.45,11745,Store 8,1.608
50.39233825,30.467913108,1.49,11746,Store 39,1.131
50.391624012,30.467014786,2.98,11747,Store 39,1.029
50.407051242,30.673139793,2.48,11748,Store 12,0.493
50.406657376,30.674158679,3.3,11749,Store 12,0.568
50.404775974,30.670198235,2.52,11750,Store 12,0.385
50.405095087,30.669769639,2.55,11751,Store 12,0.339
50.401903049,30.649914167,2.56,11752,Store 52,0.949
50.402734329,30.650210636,3.23,11753,Store 52,1.016
50.402795211,30.61044175,2.67,11754,Store 24,0.315
50.490993826,30.52783357,0.93,11755,Store 17,1.046
50.469989695,30.431229654,1.32,11756,Store 90,1.795
50.469044125,30.426141592,2.36,11757,Store 90,1.466
50.466913843,30.419353485,0.75,11758,Store 90,1.13
